POINTID,SiteId,Lat,Long,FeatureTyp,Barrier,Reason,FishPass,LngCo,LngSD,LngCH,Lng_25Co,Lng_75Co,Lng_25CH,Lng_75CH,Lng_25SD,Lng_75SD,Lng_50Co,Lng_50CH,Lng_50SD
1141,132151486,46.8227196,-122.9157675,Non-Culvert Xing,Yes,Failed,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,933634,46.781499,-123.0034338,Culvert,Yes,Debris,67,191.87229,0,0,575.61687,0,0,0,0,0,191.87229,0,0
1168,601043,46.8075412,-122.862639,Culvert,Yes,WS Drop,67,8011.309685,1918.080704,0,14844.06958,1901.468889,951.402523,0,3791.139562,560.889672,8011.309685,0,1918.080704
1434,601174,46.641421,-123.114785,Culvert,Yes,Slope,33,5428.552705,4575.484997,0,9489.767498,4222.58861,994.873135,0,5641.819632,2709.828715,5428.552705,0,4575.484997
1432,601177,46.642355,-123.115298,Culvert,Yes,WS Drop,67,57260.75042,39866.4892,12153.34442,92589.49239,36722.95933,24988.87338,5241.597727,50244.68812,31627.83712,56213.0703,12153.34442,39866.4892
1311,601172,46.707986,-123.203208,Culvert,Yes,Velocity,67,10375.37846,5567.482532,0,18670.28504,4985.666834,1450.444452,0,8030.799599,4798.493192,10148.76136,0,5567.482532
1162,601175,46.810115,-122.827427,Culvert,Yes,Slope,67,800.111767,800.111767,0,2321.681258,800.111767,0,0,800.111767,0,800.111767,0,800.111767
1340,1320320,46.7033631,-122.8194314,Culvert,Yes,Velocity,0,2053.139241,0,0,3671.133404,0,0,0,720.01115,0,2053.139241,0,0
1334,1320321,46.7050255,-122.8125132,Culvert,Yes,Velocity,33,1654.763237,0,0,3272.7574,0,0,0,321.635146,0,1654.763237,0,0
1333,1320322,46.7055197,-122.812234,Dam,Yes,WS Drop,0,1455.575235,0,0,3073.569398,0,0,0,321.635146,0,1455.575235,0,0
1408,132151490B,46.6469054,-123.3005226,Non-Culvert Xing,Yes,Failed,0,0,0,0,185.167989,0,0,0,0,0,0,0,0
1405,132151490A,46.6471446,-123.2983795,Culvert,Yes,Failed,0,0,0,0,0,0,0,0,0,0,0,0,0
1481,933792,46.62999,-123.198124,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
1478,933791,46.631131,-123.198704,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,125 1405W12C,46.7141477,-123.2622624,Culvert,Yes,Other,0,0,0,0,406.386464,0,0,0,0,0,0,0,0
1274,125 1503W31E,46.7370583,-123.1143237,Dam,Yes,Other,0,0,0,0,528.512562,0,0,0,0,0,0,0,0
1095,125 1605W20A,46.85905,-123.34821,Culvert,Yes,WS Drop,67,0,0,0,634.430985,0,0,0,0,0,0,0,0
1079,125 1605W17A,46.87542,-123.33008,Culvert,Yes,Slope,0,0,0,0,832.1801,0,0,0,0,0,0,0,0
1059,125 1605W02A,46.90254,-123.27857,Culvert,Yes,WS Drop,0,0,0,0,567.59601,0,0,0,0,0,0,0,0
1031,125 1705W27B,46.92685,-123.30499,Culvert,Yes,WS Drop,0,792.861381,0,0,969.18483,0,0,0,0,0,792.861381,0,0
1491,601702,46.628225,-123.108856,Culvert,Yes,Depth,67,3290.37585,2437.308142,0,6561.055935,2084.411755,0,0,3503.642777,571.65186,3290.37585,0,2437.308142
1490,601703,46.628441,-123.108339,Culvert,Yes,Slope,67,3480.92647,2627.858762,0,6751.606555,2274.962375,0,0,3694.193397,762.20248,3480.92647,0,2627.858762
1140,132162184C,46.8220988,-122.9338633,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,132162184D,46.8229624,-122.9225397,Culvert,Yes,Slope,67,0,0,0,0,0,0,0,0,0,0,0,0
1138,132162184B,46.8233308,-122.9321552,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,601257,46.6931,-123.21104,Culvert,Yes,Depth,67,7798.655162,3187.458689,0,14378.93815,2605.642991,0,0,4901.56749,2418.469349,7572.038068,0,3187.458689
1270,601262,46.747619,-122.961145,Culvert,Yes,WS Drop,67,0,0,0,400.858492,0,0,0,0,0,0,0,0
1310,601258,46.70982,-123.20577,Culvert,Yes,Debris,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,601269,46.80884,-122.83498,Culvert,Yes,Slope,67,1438.993924,1438.993924,0,2960.563415,1438.993924,638.882157,0,1438.993924,0,1438.993924,0,1438.993924
1165,601274,46.80891,-122.84484,Culvert,Yes,Slope,67,4238.479004,2471.995031,0,6545.152483,2471.995031,1671.883264,0,2471.995031,0,4238.479004,0,2471.995031
1164,601275,46.80925,-122.84758,Culvert,Yes,Depth,67,4436.321957,2669.837984,0,6742.995436,2669.837984,1869.726217,0,2669.837984,0,4436.321957,0,2669.837984
1167,700148,46.808869,-122.834667,Culvert,Yes,Depth,67,1438.993924,1438.993924,0,2960.563415,1438.993924,638.882157,0,1438.993924,0,1438.993924,0,1438.993924
1522,601456,46.61829,-122.9127,Culvert,Yes,Velocity,67,6279.478661,1784.992671,0,8979.415718,3046.724805,2181.657709,0,4218.273199,0,6077.90776,0,1784.992671
1461,601310,46.6381,-123.02698,Culvert,Yes,Depth,33,9296.431542,7506.882871,1575.732896,15520.35387,7047.73313,3890.773954,0,9639.393642,6277.472813,9296.431542,1575.732896,7506.882871
1453,601311,46.63926,-123.02199,Dam,Yes,WS Drop,0,9685.327914,7895.779243,1964.629268,15909.25025,7436.629502,4279.670326,0,10028.29001,6666.369185,9685.327914,1964.629268,7895.779243
1537,934092,46.60836,-123.109712,Culvert,Yes,WS Drop,0,0,0,0,0,0,0,0,0,0,0,0,0
1380,601376,46.68148,-122.76005,Culvert,Yes,WS Drop,33,0,0,0,0,0,0,0,0,0,0,0,0
1378,601373,46.68413,-122.74239,Culvert,Yes,Slope,33,0,0,0,0,0,0,0,0,0,0,0,0
1377,601372,46.68448,-122.74242,Culvert,Yes,Slope,67,0,0,0,0,0,0,0,0,0,0,0,0
1376,601371,46.68467,-122.74529,Culvert,Yes,WS Drop,0,8461.614123,16894.25828,0,13491.20434,5146.225922,464.101536,0,20166.82005,14259.56652,8461.614123,0,16894.25828
1526,601385,46.62104,-122.71168,Culvert,Yes,Debris,0,0,0,0,0,0,0,0,0,0,0,0,0
1105,934186,46.857617,-123.259488,Culvert,Yes,Slope,33,1216.7316,0,0,1622.3088,0,0,0,0,0,1216.7316,0,0
1103,934185,46.857907,-123.258776,Culvert,Yes,Slope,33,1013.943,0,0,1419.5202,0,0,0,0,0,1013.943,0,0
1101,934184,46.858071,-123.258452,Culvert,Yes,Slope,33,1013.943,0,0,1419.5202,0,0,0,0,0,1013.943,0,0
1442,601400,46.63864,-123.18231,Culvert,Yes,Slope,67,0,0,0,192.319517,0,0,0,0,0,0,0,0
1227,600303,46.768725,-122.992854,Culvert,Yes,Velocity,67,199.324434,0,0,1437.142361,0,0,0,0,0,199.324434,0,0
1457,601407,46.63503,-123.20911,Culvert,Yes,Slope,0,7580.297914,949.944167,184.026834,12708.43527,1125.956005,466.230139,0,7188.054192,774.436783,7580.297914,184.026834,949.944167
1506,601445,46.619709,-123.06293,Culvert,Yes,Slope,0,0,0,0,210.88846,0,0,0,0,0,0,0,0
